t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_run_for_seconds,c_fs,c_cm_split,c_cm_merge,c_su_merge,c_bstar,c_backoff_strategy,c_cm_update_tracker_pct,c_restarts_threshold,cm_threads_pro_page,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz,dt_researchy_0,dt_researchy_1,dt_researchy_2,dt_researchy_3,dt_researchy_4,dt_researchy_5,dt_researchy_6,dt_researchy_7,dt_researchy_8,dt_researchy_9,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,cm_split_succ_counter,cm_split_fail_counter,cm_merge_succ_counter,cm_merge_fail_counter,su_merge_partial_counter,su_merge_full_counter
42,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9712407,0,0,90.6924,9.21904,0,0,0,9920,0,9.99553,-nan,0,0,0,0,45467323,900.782,2177.92,0.0554028,0.00140954,0.574974,219.895,2.41781,9.99553,4.09641,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
43,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9716135,0,0,90.6924,9.21904,0,0,0,9819,0,9.99594,-nan,0,0,0,0,46280380,885.097,2178.56,0.0292673,0.00113966,0.555053,216.039,2.46138,9.99594,4.09693,0,0,0,0,0,0,0,0,0,0,0,contention,0,4,0,0,0,0,0,0,0,0
44,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9789283,0,0,90.6924,9.21904,0,0,0,9904,0,9.99541,-nan,0,0,0,0,46798248,875.283,2172.76,0.0244926,0.00090185,0.524931,213.64,2.48235,9.99541,4.097,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
45,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9889382,0,0,90.6924,9.21904,0,0,0,10045,1,9.99545,-nan,0,0,0,0,46557969,879.848,2173.93,0.0283814,0.00101065,0.528593,214.741,2.4708,9.99545,4.09725,0,0,0,0,0,0,0,0,0,0,0,contention,0,7,0,0,0,0,0,0,0,0
46,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9886696,0,0,90.6924,9.21904,0,0,0,10112,0,9.99567,-nan,0,0,0,0,46289668,884.861,2178.07,0.0321816,0.00118951,0.559222,215.991,2.46148,9.99567,4.09674,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
47,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9894635,0,0,90.6924,9.21904,0,0,0,9952,1,9.99612,-nan,0,0,0,0,46490628,881.187,2177.98,0.0251581,0.00100261,0.529556,215.067,2.47164,9.99612,4.09727,0,0,0,0,0,0,0,0,0,0,0,contention,0,4,0,0,0,0,0,0,0,0
48,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9777539,0,0,90.6924,9.21904,0,0,0,9811,0,9.99502,-nan,0,0,0,0,45176746,906.561,2175.54,0.0588582,0.00152406,0.614411,221.298,2.39977,9.99502,4.09657,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
49,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9892793,0,0,90.6924,9.21904,0,0,0,10133,1,9.9957,-nan,0,0,0,0,46355877,883.579,2177.9,0.0296552,0.00120224,0.57629,215.684,2.46486,9.9957,4.09664,0,0,0,0,0,0,0,0,0,0,0,contention,0,6,0,0,0,0,0,0,0,0
50,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9498847,0,0,90.6924,9.21904,0,0,0,9651,2,9.99566,-nan,0,0,0,0,46569274,879.553,2177.02,0.027013,0.00114451,0.609102,214.694,2.47515,9.99566,4.09677,0,0,0,0,0,0,0,0,0,0,0,contention,0,14,0,0,0,0,0,0,0,0
51,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9832940,0,0,90.6924,9.21904,0,0,0,9747,0,9.99567,-nan,0,0,0,0,46370274,883.524,2178.51,0.0282856,0.00121921,0.548663,215.614,2.4657,9.99567,4.09772,0,0,0,0,0,0,0,0,0,0,0,contention,0,0,0,0,0,0,0,0,0,0
52,10,1,10,1,6,10,1,0,60,0,1,1,1,0,0,1,100,1,0.902557,59150,-nan,-nan,-nan,-nan,inf,inf,9867948,0,0,90.6924,9.21904,0,0,0,10065,1,9.99578,-nan,0,0,0,0,46566937,879.705,2176.43,0.0243203,0.00101978,0.55638,214.709,2.47404,9.99578,4.0972,0,0,0,0,0,0,0,0,0,0,0,contention,0,8,0,0,0,0,0,0,0,0
