t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
48,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2749014,0,119.92,0,0,0,0,0,6063650,66505.3,7427.86,30.173,14.1213,19898.8,0.111688,119.92,3.34217,0,latest,0,14268180,0,0,0,0,0
49,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2750014,0,119.922,0,0,0,0,0,6223754,64783.8,7238.26,30.2948,14.1144,19384.5,0.11173,119.922,3.34205,0,latest,0,14196217,0,0,0,0,0
50,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2752089,0,119.925,0,0,0,0,0,5732028,70361,7743.13,31.2593,14.8667,21051.7,0.110049,119.925,3.34229,0,latest,0,14204267,0,0,0,0,0
51,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2746637,0,119.926,0,0,0,0,0,4968638,81166.1,8918.94,32.7929,16.0288,24281,0.109885,119.926,3.34279,0,latest,0,14170948,0,0,0,0,0
52,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2748630,0,119.921,0,0,0,0,0,5060599,79702.1,8834.4,32.6123,15.7876,23848.2,0.110843,119.921,3.34206,0,latest,0,14170619,0,0,0,0,0
53,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2749022,0,119.901,0,0,0,0,0,5836395,69093.4,7847.1,30.8392,14.4382,20669.1,0.113572,119.901,3.34284,0,latest,0,14184678,0,0,0,0,0
54,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2748663,0,119.921,0,0,0,0,0,5844248,69019.8,7748.95,30.5613,14.2939,20651.9,0.112271,119.921,3.34206,0,latest,0,14145498,0,0,0,0,0
55,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2769863,0,119.922,0,0,0,0,0,5727694,70864.5,7878.15,30.9914,14.6193,21196.2,0.111172,119.922,3.34326,0,latest,0,14232699,0,0,0,0,0
56,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2752217,0,119.921,0,0,0,0,0,4903550,82250.3,8886.91,33.1838,16.0228,24609.6,0.108047,119.921,3.3422,0,latest,0,14165456,0,0,0,0,0
57,120,1,1,4,6,100,50,0.8,0,0,0,1,1000,0.1,53.0298,100,0,0,0,0,0,0,0,0,45.313,0,0,2748018,0,119.922,0,0,0,0,0,6100693,66117.3,7375.15,30.3166,14.2108,19786.9,0.111546,119.922,3.34147,0,latest,0,14255905,0,0,0,0,0
