t,c_worker_threads,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_zipf_factor,c_fs,c_cm_split,latest_read_ratio,latest_window_gib,latest_window_ms,latest_window_offset_gib,space_usage_gib,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,evicted_mib,rounds,unswizzled,cpus,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx,cycle,instr,L1-miss,br-miss,task,IPC,CPU,GHz,dt_id,dt_name,dt_misses_counter,dt_restarts_update_same_size,dt_restarts_structural_change,dt_restarts_read,dt_researchy_0,dt_researchy_1,dt_researchy_2
44,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.4213,9.66384,73.9149,36.8855,2.44074,0.457989,36440,7439,7439,1.00708,1.34272,106.999,3118446,7670,117.48,31.2172,338,106.999,0,106.999,10298759,38065.3,5111.21,26.0595,11.6905,11477.4,0.134275,117.48,3.31655,0,latest,6858,13399346,0,0,0,0,0
45,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,20.5008,8.62594,70.8732,36.1059,2.14418,0.428706,36269,7568,7568,1.00708,1.37954,107.093,3089992,7854,117.469,29.2026,355,107.124,0,107.093,11035263,35530.9,4872.47,25.7076,11.4302,10711,0.137133,117.469,3.31724,0,latest,6864,13335421,0,0,0,0,0
46,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,14.5045,9.15588,76.3397,39.9165,1.17716,0.27867,39619,7742,7742,1.00708,1.38883,109.059,3120495,7903,117.472,30.5933,362,109.074,0,109.059,10339785,37933.6,5129.81,26.3394,11.627,11431.1,0.135231,117.472,3.31844,0,latest,6990,13482856,0,0,0,0,0
47,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.5206,9.85592,73.6235,37.7395,1.95897,0.381966,35668,7260,7260,1.00708,1.37514,105.423,2951870,7481,117.61,30.1679,334,105.423,0,105.423,9560262,41070.6,5466.91,27.0306,12.0532,12377.8,0.13311,117.61,3.31808,0,latest,6757,13535330,0,0,0,0,0
48,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.7913,9.63464,73.5741,37.2404,2.20769,0.442964,36866,6961,6961,1.00708,1.42817,102.475,2768414,7717,117.665,31.0538,553,102.506,0,102.475,11341221,34653.6,4865.04,25.7387,11.1888,10438.9,0.140391,117.665,3.31967,0,latest,6568,13325876,0,0,0,0,0
49,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.9161,8.846,74.2379,38.0323,2.54954,0.489275,35998,7396,7396,1.00708,1.4491,102.116,2894697,7456,117.69,30.548,356,102.116,0,102.116,10321255,38087.5,5129.28,26.2902,11.6709,11476.5,0.134671,117.69,3.31875,0,latest,6545,13365787,0,0,0,0,0
50,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,16.1002,9.95402,73.9458,36.4226,1.87568,0.348299,38094,7361,7361,1.00708,1.44296,107.545,2878972,7639,117.551,31.7238,414,107.545,0,107.545,8429068,46544.3,5962.28,28.6755,12.7115,14031,0.128099,117.551,3.31724,0,latest,6893,13491845,0,0,0,0,0
51,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,21.1975,9.47647,69.326,35.0134,1.63762,0.378314,34520,7247,7247,1.00708,1.48151,99.5103,2753518,7383,117.835,28.877,372,99.5103,0,99.5103,8308119,47374.6,6013.01,28.5291,12.7743,14274.3,0.126925,117.835,3.31887,0,latest,6378,13564656,0,0,0,0,0
52,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.4121,10.5356,72.0523,36.2767,1.94188,0.379794,32714,6349,6349,1.00708,1.5284,83.0656,2954652,6385,118.177,29.9289,281,83.0656,0,83.0656,9110853,43398.3,5636.75,27.0426,12.4375,13173.1,0.129884,118.177,3.29446,0,latest,5324,13808077,0,0,0,0,0
53,120,1,1,4,6,10,50,0.75,0,0,0,1,1000,0.1,53.0283,17.2109,10.1878,72.6013,35.746,2.02999,0.38294,35144,7316,7316,1.00708,1.57718,95.5317,2911161,7285,117.827,31.0634,346,95.5629,0,95.5317,10738378,36653.6,5088.92,26.1106,11.55,11036.5,0.138838,117.827,3.32111,0,latest,6123,13465804,0,0,0,0,0
