t,tpcc_warehouse_count,tpcc_warehouse_affinity,c_tag,c_mutex,c_worker_threads,c_pin_threads,c_smt,c_free_pct,c_cool_pct,c_pp_threads,c_partition_bits,c_dram_gib,c_target_gib,c_run_for_seconds,c_fs,c_bstar,c_bulk_insert,c_backoff_strategy,c_cm_split,c_cm_update_on,c_cm_period,c_cm_slowpath_threshold,c_su_kwaymerge,c_su_merge,c_su_target_pct,c_zipf_factor,c_backoff,c_hash,space_usage_gib,consumed_pages,p1_pct,p2_pct,p3_pct,poll_pct,find_parent_pct,iterate_children_pct,pc1,pc2,pc3,free_pct,cool_pct,cool_pct_should,evicted_mib,rounds,touches,unswizzled,submit_ms,async_mb_ws,w_mib,allocate_ops,r_mib,tx
4,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,25.82,1692381,nan,nan,nan,nan,nan,nan,0,0,0,66.71,0.00,0,0.00,0,0,0,nan,0,0.00,134874,0.00,2021456
5,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,27.83,1824100,nan,nan,nan,nan,nan,nan,0,0,0,64.12,0.00,0,0.00,0,0,0,nan,0,0.00,134938,0.00,2002443
6,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,29.81,1953531,nan,nan,nan,nan,nan,nan,0,0,0,61.57,0.00,0,0.00,0,0,0,nan,0,0.00,132628,0.00,1982739
7,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,31.63,2072855,nan,nan,nan,nan,nan,nan,0,0,0,59.23,0.00,0,0.00,0,0,0,nan,0,0.00,122277,0.00,1827949
8,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,33.32,2183415,nan,nan,nan,nan,nan,nan,0,0,0,57.05,0.00,0,0.00,0,0,0,nan,0,0.00,113329,0.00,1694465
9,100,0,larger64,1,90,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,858817453321308398,35.37,2318216,nan,nan,nan,nan,nan,nan,0,0,0,54.40,0.00,0,0.00,0,0,0,nan,0,0.00,138080,0.00,2055109
0,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,18.26,1196494,nan,nan,nan,nan,nan,nan,0,0,0,76.47,0.00,0,0.00,0,0,0,nan,0,0.00,1196494,0.00,0
1,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,20.02,1311770,nan,nan,nan,nan,nan,nan,0,0,0,74.20,0.00,0,0.00,0,0,0,nan,0,0.00,117304,0.00,1778731
2,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,21.59,1415198,nan,nan,nan,nan,nan,nan,0,0,0,72.16,0.00,0,0.00,0,0,0,nan,0,0.00,105987,0.00,1583688
3,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,23.20,1520175,nan,nan,nan,nan,nan,nan,0,0,0,70.10,0.00,0,0.00,0,0,0,nan,0,0.00,107536,0.00,1605244
4,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,24.94,1634283,nan,nan,nan,nan,nan,nan,0,0,0,67.85,0.00,0,0.00,0,0,0,nan,0,0.00,116961,0.00,1750568
5,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,26.61,1744137,nan,nan,nan,nan,nan,nan,0,0,0,65.69,0.00,0,0.00,0,0,0,nan,0,0.00,112567,0.00,1674032
6,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,28.19,1847175,nan,nan,nan,nan,nan,nan,0,0,0,63.67,0.00,0,0.00,0,0,0,nan,0,0.00,105569,0.00,1576123
7,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,29.68,1945265,nan,nan,nan,nan,nan,nan,0,0,0,61.74,0.00,0,0.00,0,0,0,nan,0,0.00,100517,0.00,1502788
8,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,31.36,2055128,nan,nan,nan,nan,nan,nan,0,0,0,59.58,0.00,0,0.00,0,0,0,nan,0,0.00,112569,0.00,1679538
9,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,16661937378305424154,33.17,2173882,nan,nan,nan,nan,nan,nan,0,0,0,57.24,0.00,0,0.00,0,0,0,nan,0,0.00,121672,0.00,1819615
0,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,18.25,1195766,nan,nan,nan,nan,nan,nan,0,0,0,76.48,0.00,0,0.00,0,0,0,nan,0,0.00,1195766,0.00,0
1,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,19.94,1306499,nan,nan,nan,nan,nan,nan,0,0,0,74.30,0.00,0,0.00,0,0,0,nan,0,0.00,112648,0.00,1709560
2,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,21.85,1432014,nan,nan,nan,nan,nan,nan,0,0,0,71.83,0.00,0,0.00,0,0,0,nan,0,0.00,128614,0.00,1920465
3,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,23.65,1550056,nan,nan,nan,nan,nan,nan,0,0,0,69.51,0.00,0,0.00,0,0,0,nan,0,0.00,120914,0.00,1805378
4,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,25.63,1679821,nan,nan,nan,nan,nan,nan,0,0,0,66.96,0.00,0,0.00,0,0,0,nan,0,0.00,132987,0.00,1990366
5,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,27.42,1797206,nan,nan,nan,nan,nan,nan,0,0,0,64.65,0.00,0,0.00,0,0,0,nan,0,0.00,120288,0.00,1786738
6,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,29.21,1914407,nan,nan,nan,nan,nan,nan,0,0,0,62.34,0.00,0,0.00,0,0,0,nan,0,0.00,120072,0.00,1794852
7,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,31.13,2040136,nan,nan,nan,nan,nan,nan,0,0,0,59.87,0.00,0,0.00,0,0,0,nan,0,0.00,128840,0.00,1922198
8,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,33.04,2165567,nan,nan,nan,nan,nan,nan,0,0,0,57.40,0.00,0,0.00,0,0,0,nan,0,0.00,128516,0.00,1922937
9,100,0,larger64,1,96,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,1,7,14,1,5,0,80.00,0.00,512,5655007786931093493,34.80,2280561,nan,nan,nan,nan,nan,nan,0,0,0,55.14,0.00,0,0.00,0,0,0,nan,0,0.00,117836,0.00,1751722
0,100,0,larger64,1,100,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,12797154501947474412,18.25,1195955,nan,nan,nan,nan,nan,nan,0,0,0,76.48,0.00,0,0.00,0,0,0,nan,0,0.00,1195955,0.00,0
1,100,0,larger64,1,100,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,12797154501947474412,19.78,1296195,nan,nan,nan,nan,nan,nan,0,0,0,74.50,0.00,0,0.00,0,0,0,nan,0,0.00,101943,0.00,1549851
2,100,0,larger64,1,100,0,1,1,20,0,6,80.00,0.00,10,0,0,0,0,0,7,14,1,5,0,80.00,0.00,512,12797154501947474412,21.41,1402937,nan,nan,nan,nan,nan,nan,0,0,0,72.40,0.00,0,0.00,0,0,0,nan,0,0.00,109337,0.00,1632605
