t,name,c_hash,cycle,cycle-kernel,instr,L1-miss,LLC-miss,br-miss,task,IPC,CPU,GHz
6,merge,9056254927689675874,4232696349.77,7662837.60,2667587192.90,34998107.30,19133651.69,25216819.34,1000021565.00,0.63,1.00,4.23
7,merge,9056254927689675874,4228660171.01,6971679.06,2663301460.91,34967668.24,19173387.02,25203478.97,1000052193.00,0.63,1.00,4.23
8,merge,9056254927689675874,4188338319.01,6859312.96,2599167011.33,34152142.15,18954720.36,24620368.83,1000243033.00,0.62,1.00,4.19
9,merge,9056254927689675874,4223832072.39,8450035.29,2657374289.25,34934300.75,18950348.29,25141534.25,1000188968.00,0.63,1.00,4.22
10,merge,9056254927689675874,4231070857.62,6573735.09,2667135618.42,35020648.68,19088070.46,25235774.05,1000296259.00,0.63,1.00,4.23
11,merge,9056254927689675874,4224594252.70,5662746.52,2670484879.71,35025665.39,19065965.55,25255620.12,1000175672.00,0.63,1.00,4.22
12,merge,9056254927689675874,4247069497.03,5504216.71,2680648975.07,35180181.70,19159798.14,25389127.47,1000206344.00,0.63,1.00,4.25
13,merge,9056254927689675874,4258701631.63,5487153.05,2687496880.03,35267214.71,19240439.08,25440746.65,1000084135.00,0.63,1.00,4.26
14,merge,9056254927689675874,4217380156.50,5693613.56,2628546958.98,34487643.28,18965530.30,24878053.77,1000135837.00,0.62,1.00,4.22
15,merge,9056254927689675874,4248089465.30,5525304.93,2680838713.81,35189883.26,18870789.78,25429755.76,1000240546.00,0.63,1.00,4.25
16,merge,9056254927689675874,4274498190.63,5468083.96,2702381967.47,35466813.64,19006922.02,25605785.22,1007069699.00,0.63,1.00,4.24
17,merge,9056254927689675874,4251151009.13,5350354.82,2687768813.13,35246925.66,18939565.79,25433344.59,1000280166.00,0.63,1.00,4.25
18,merge,9056254927689675874,4212268829.43,10122189.92,2648531507.45,34738336.25,18985505.25,25057142.78,1000312317.00,0.63,1.00,4.21
19,merge,9056254927689675874,4223697140.62,6803751.61,2663051783.37,34893570.61,19096930.64,25211840.15,1000297302.00,0.63,1.00,4.22
